Concept	Preferred Term	Id
Mood disorder caused by methamphetamine (disorder)	Mood disorder caused by methamphetamine	12398321000119100
Anxiety disorder caused by methamphetamine (disorder)	Anxiety disorder caused by methamphetamine	12398201000119102
Gender dysphoria in adolescence and adulthood (disorder)	Gender dysphoria in adolescence and adulthood	12277711000119108
Gender dysphoria in childhood (disorder)	Gender dysphoria in childhood	12277671000119109
Depressive disorder in mother complicating childbirth (disorder)	Depressive disorder in mother complicating childbirth	10835871000119104
Mental disorder in mother complicating childbirth (disorder)	Mental disorder in mother complicating childbirth	10811201000119102
Major depressive disorder in mother complicating pregnancy (disorder)	Major depressive disorder in mother complicating pregnancy	10811161000119107
Major depressive disorder in mother complicating childbirth (disorder)	Major depressive disorder in mother complicating childbirth	10811121000119102
Psychotic disorder in mother complicating pregnancy (disorder)	Psychotic disorder in mother complicating pregnancy	10760461000119107
Psychotic disorder in mother complicating childbirth (disorder)	Psychotic disorder in mother complicating childbirth	10760421000119102
Anxiety disorder in mother complicating childbirth (disorder)	Anxiety disorder in mother complicating childbirth	10743001000119103
Behavioral disturbance due to multi-infarct dementia (disorder)	Behavioral disturbance due to multi-infarct dementia	293671000119109
Opioid-induced mood disorder due to opioid dependence (disorder)	Opioid-induced mood disorder due to opioid dependence	288861000119108
Opioid-induced mood disorder due to opioid abuse (disorder)	Opioid-induced mood disorder due to opioid abuse	288851000119106
Reactive depressive psychosis, single episode (disorder)	Reactive depressive psychosis, single episode	288751000119101
Vascular dementia with behavioral disturbance (disorder)	Vascular dementia with behavioural disturbance	288631000119104
Psychosis caused by inhalant (disorder)	Psychosis caused by inhalant	288461000119105
Hyposomnia co-occurrent and due to psychological disorder (disorder)	Hyposomnia co-occurrent and due to psychological disorder	288421000119100
Identity disorder of childhood (disorder)	Identity disorder of childhood	270291000119109
Alzheimer's disease co-occurrent with delirium (disorder)	Alzheimer's disease co-occurrent with delirium	142011000119109
Depressed mood in Alzheimer's disease (disorder)	Depressed mood in Alzheimer's disease	142001000119106
Delusions in Alzheimer's disease (disorder)	Delusions in Alzheimer's disease	141991000119109
Memory disorder co-occurrent and due to organic brain damage (disorder)	Memory disorder co-occurrent and due to organic brain damage	140621000119106
Severe seasonal affective disorder (disorder)	Severe seasonal affective disorder	133121000119109
Rapid cycling bipolar I disorder (disorder)	Rapid cycling bipolar I disorder	133091000119105
Dementia due to Rett's syndrome (disorder)	Dementia due to Rett's syndrome	130121000119104
Multi-infarct dementia due to atherosclerosis (disorder)	Multi-infarct dementia due to atherosclerosis	106021000119105
Amnestic disorder associated with general medical condition (disorder)	Amnestic disorder associated with general medical condition	105451000119102
Early onset Alzheimer's disease with behavioral disturbance (disorder)	Early onset Alzheimer's disease with behavioral disturbance	105421000119105
Postpartum major depression in remission (disorder)	Postpartum major depression in remission	104851000119103
Dementia due to Parkinson's disease (disorder)	Dementia due to Parkinson's disease	101421000119107
Altered behavior in Alzheimer's disease (disorder)	Altered behavior in Alzheimer's disease	97751000119108
Episodic mood disorder (disorder)	Episodic mood disorder	94921000119107
Anxiety in pregnancy (disorder)	Anxiety in pregnancy	94641000119109
Depressive disorder in mother complicating pregnancy (disorder)	Depressive disorder in mother complicating pregnancy	94631000119100
Stress reaction with psychomotor agitation (disorder)	Stress reaction with psychomotor agitation	92501000119101
Epileptic dementia with behavioral disturbance (disorder)	Epileptic dementia with behavioural disturbance	82381000119103
Dementia due to multiple sclerosis with altered behavior (disorder)	Dementia due to multiple sclerosis with altered behaviour	82371000119101
Altered behavior in dementia due to Huntington chorea (disorder)	Altered behaviour in Huntington's dementia	82361000119107
Mixed dementia (disorder)	Mixed dementia	79341000119107
Acute psychosis (disorder)	Acute psychosis	65971000052100
Postpartum psychosis in remission (disorder)	Postpartum psychosis in remission	60401000119104
Impulse control disorder in remission (disorder)	Impulse control disorder in remission	60251000119101
Pervasive developmental disorder of residual state (disorder)	Pervasive developmental disorder of residual state	39951000119105
Presenile dementia with delusions (disorder)	Presenile dementia with delusions	31081000119101
Severe manic bipolar I disorder (disorder)	Severe manic bipolar I disorder	23741000119105
Psychosis in early childhood (disorder)	Psychosis in early childhood	22641000119109
Anxiety disorder caused by drug (disorder)	Anxiety disorder caused by drug	22621000119103
Primary degenerative dementia (disorder)	Primary degenerative dementia	22381000119105
Dementia co-occurrent and due to Pick's disease (disorder)	Dementia due to Pick's disease	21921000119103
Organic mental disorder caused by phencyclidine (disorder)	Phencyclidine induced mental problem	21841000119100
Psychotic disorder caused by phencyclidine (disorder)	Psychotic disorder caused by phencyclidine	21831000119109
Mood disorder of manic type (disorder)	Mood disorder of manic type	21071000119101
Psychological disorder during pregnancy (disorder)	Psychological disorder during pregnancy	18491000119109
Perinatal depression (disorder)	Perinatal depression	10211000132109
Psychotic disorder caused by amphetamine use (disorder)	Psychotic disorder due to amphetamine use	7761000119106
Psychogenic fugue co-occurrent and due to stress reaction (disorder)	Psychogenic fugue co-occurrent and due to stress reaction	7031000119100
Hallucinations co-occurrent and due to late onset dementia (disorder)	Hallucinations co-occurrent and due to late onset dementia	2421000119107
Dementia with behavioral disturbance (disorder)	Dementia with behavioural disturbance	1591000119103
Dementia of the Alzheimer type with behavioral disturbance (disorder)	Dementia of the Alzheimer type with behavioral disturbance	1581000119101
Severe recurrent major depression (disorder)	Severe recurrent major depression	281000119103
Severe mixed bipolar I disorder (disorder)	Severe mixed bipolar I disorder	271000119101
Severe depressed bipolar I disorder (disorder)	Severe depressed bipolar I disorder	261000119107
Severe major depression, single episode (disorder)	Severe major depression, single episode	251000119105
Frontal variant non-amnestic Alzheimer disease (disorder)	Frontal variant non-amnestic Alzheimer disease	1263585001
Logopenic non-amnestic Alzheimer disease (disorder)	Logopenic non-amnestic Alzheimer disease	1263555006
Functional diplopia (disorder)	Functional diplopia	1260351002
Depression following menopause (disorder)	Postmenopausal depression	1260298008
Progressive essential tremor, speech impairment, facial dysmorphism, intellectual disability, abnormal behavior syndrome (disorder)	Progressive essential tremor, speech impairment, facial dysmorphism, intellectual disability, abnormal behavior syndrome	1260130005
Dementia due to classical pantothenate kinase associated neurodegeneration (disorder)	Dementia due to classical pantothenate kinase associated neurodegeneration	1259990004
Dementia due to atypical pantothenate kinase associated neurodegeneration (disorder)	Dementia due to atypical pantothenate kinase associated neurodegeneration	1259679007
Dementia due to multiple system atrophy (disorder)	Dementia due to multiple system atrophy	1259677009
Dementia due to obstructive hydrocephalus (disorder)	Dementia due to obstructive hydrocephalus	1259675001
Dementia due to paraneoplastic encephalitis (disorder)	Dementia due to paraneoplastic encephalitis	1259667007
Dementia due to progressive subcortical gliosis (disorder)	Dementia due to progressive subcortical gliosis	1259665004
Dementia due to polyarteritis nodosa (disorder)	Dementia due to polyarteritis nodosa	1259663006
Dementia due to inflammatory disorder of musculoskeletal system (disorder)	Dementia due to rheumatological disease	1259661008
Dementia due to renal failure (disorder)	Dementia due to renal failure	1259656006
Dementia due to acquired hypothyroidism (disorder)	Dementia due to acquired hypothyroidism	1259591007
Dementia due to autoimmune encephalitis (disorder)	Dementia due to autoimmune encephalitis	1259586006
Dementia due to and following dialysis (disorder)	Post-dialysis dementia	1259584009
Dementia due to celiac disease (disorder)	Dementia due to coeliac disease	1259581001
Dementia due to Behcet syndrome (disorder)	Dementia due to Behcet syndrome	1259579003
Dementia due to hypertensive encephalopathy (disorder)	Dementia due to hypertensive encephalopathy	1259531005
Dementia due to sporadic Creutzfeldt-Jakob disease (disorder)	Dementia due to sporadic Creutzfeldt-Jakob disease	1259529001
Dementia due to trypanosomiasis (disorder)	Dementia due to trypanosomiasis	1259524006
Dementia due to variant Creutzfeldt-Jakob disease (disorder)	Dementia due to variant Creutzfeldt-Jakob disease	1259522005
Dementia due to subacute sclerosing panencephalitis (disorder)	Dementia due to subacute sclerosing panencephalitis	1259519008
Dementia due to systemic lupus erythematosus (disorder)	Dementia due to systemic lupus erythematosus	1259517005
Dementia due to Whipple disease (disorder)	Dementia due to Whipple disease	1259513009
Dementia due to Wilson disease (disorder)	Dementia due to Wilson disease	1259511006
Dementia due to iatrogenic Creutzfeldt-Jakob disease (disorder)	Dementia due to iatrogenic Creutzfeldt-Jakob disease	1259503001
Dementia due to kuru (disorder)	Dementia due to kuru	1259501004
Dementia due to hemorrhagic cerebral infarction due to hypertension (disorder)	Dementia due to hemorrhagic cerebral infarction due to hypertension	1259499007
Dementia due to Lyme disease (disorder)	Dementia due to Lyme disease	1259496000
Dementia due to leukodystrophy (disorder)	Dementia due to leukodystrophy	1259494002
Dementia due to metastatic malignant neoplasm to brain (disorder)	Dementia due to metastatic malignant neoplasm to brain	1259492003
Dementia due to cerebral amyloid angiopathy (disorder)	Dementia due to cerebral amyloid angiopathy	1259488005
Dementia due to cerebral vasculitis (disorder)	Dementia due to cerebral vasculitis	1259485008
Dementia due to fatal familial insomnia (disorder)	Dementia due to fatal familial insomnia	1259480003
Dementia due to familial Creutzfeldt-Jakob disease (disorder)	Dementia due to familial Creutzfeldt-Jakob disease	1259478009
Dementia due to genetic disease (disorder)	Dementia due to genetic disease	1259476008
Dementia due to fragile X syndrome (disorder)	Dementia due to fragile X syndrome	1259473000
Dementia due to Hashimoto encephalopathy (disorder)	Dementia due to Hashimoto encephalopathy	1259471003
Dementia due to Gerstmann Straussler Scheinker syndrome (disorder)	Dementia due to Gerstmann Straussler Scheinker syndrome	1259469003
Dementia due to hypercalcemia (disorder)	Dementia due to hypercalcemia	1259467001
Dementia due to hepatic failure (disorder)	Dementia due to hepatic failure	1259465009
Alzheimer disease with psychosis (disorder)	Alzheimer disease with psychosis	1259128002
Adult-onset tic disorder (disorder)	Adult-onset tic disorder	1259070005
Trichodynia (disorder)	Trichodynia	1258920002
Mental disorder during puerperium (disorder)	Mental disorder during puerperium	1258898000
Trichotemnomania (disorder)	Trichotemnomania	1256062004
Trichoteiromania (disorder)	Trichoteiromania	1256061006
Intellectual disability, macrocephaly, hypotonia, behavioral abnormalities syndrome (disorder)	Intellectual disability, macrocephaly, hypotonia, behavioural abnormalities syndrome	1254652005
Organic mental disorder caused by ethanol (disorder)	Organic mental disorder caused by ethanol	1234783007
Mood disorder with depressive symptoms caused by ethanol (disorder)	Mood disorder with depressive symptoms caused by ethanol	1234782002
Mood disorder with manic symptoms caused by ethanol (disorder)	Mood disorder with manic symptoms caused by ethanol	1234781009
Mood disorder with mixed manic and depressive symptoms caused by ethanol (disorder)	Mood disorder with mixed manic and depressive symptoms caused by ethanol	1234780005
Mood disorder caused by ethanol (disorder)	Mood disorder caused by ethanol	1234779007
Psychosis caused by ethanol (disorder)	Psychosis caused by ethanol	1231846001
Psychotic disorder with insight present (disorder)	Psychotic disorder with insight present	1231503005
Delusion of emitting foul body odor (disorder)	Delusion of emitting foul body odor	1220650006
Early onset schizophrenia (disorder)	Early onset schizophrenia	1204417003
Adolescent rumination disorder (disorder)	Adolescent rumination disorder	1197718003
Functional vomiting in childhood (disorder)	Functional vomiting in childhood	1197717008
Psychogenic movement disorder (disorder)	Psychogenic movement disorder	1197149002
Organic mental disorder caused by sedative (disorder)	Organic mental disorder caused by sedative	1187205008
Integral membrane protein 2B related amyloidosis (disorder)	ITM2B-related amyloidosis	1187126002
Chronic traumatic encephalopathy (disorder)	Chronic traumatic encephalopathy	1187004001
Dementia caused by manganese and/or manganese compound (disorder)	Dementia caused by manganese	1186887004
Dementia due to nutritional deficiency disorder (disorder)	Dementia due to nutritional deficiency	1186883000
Dementia due to niacin deficiency (disorder)	Dementia due to niacin deficiency	1186881003
Dementia due to cobalamin deficiency (disorder)	Dementia due to cobalamin deficiency	1186880002
Dementia due to thiamine deficiency (disorder)	Dementia due to thiamine deficiency	1186879000
Dementia due to vitamin E deficiency (disorder)	Dementia due to vitamin E deficiency	1186877003
Developmental academic disorder due to iodine deficiency (disorder)	Developmental academic disorder due to iodine deficiency	1186832000
Developmental academic disorder due to iron deficiency (disorder)	Developmental academic disorder due to iron deficiency	1186826005
Developmental academic disorder due to nutritional stunting (disorder)	Developmental academic disorder due to nutritional stunting	1186823002
Developmental academic disorder due to deficiency of micronutrients (disorder)	Developmental academic disorder due to micronutrient deficiency	1186821000
HtrA serine peptidase 1-related autosomal dominant cerebral small vessel disease (disorder)	HTRA1-related autosomal dominant cerebral small vessel disease	1186724002
Prepubertal anorexia nervosa (disorder)	Prepubertal anorexia nervosa	1186723008
Tic disorder due to neurosyphilis (disorder)	Neurosyphilitic tic disorder	1177060002
Tic disorder due to encephalitis (disorder)	Encephalitic tic disorder	1177058004
Tic disorder due to post-encephalitic syndrome (disorder)	Tic disorder due to post-encephalitic syndrome	1177006005
Tic disorder due to prion disease (disorder)	Tic disorder due to prion disease	1177002007
Tic disorder due to rheumatic chorea (disorder)	Tic disorder due to rheumatic chorea	1177001000
Foreign accent syndrome (disorder)	Foreign accent syndrome	1163406003
Autosomal dominant Alzheimer disease due to mutation of presenilin 1 (disorder)	Autosomal dominant Alzheimer disease due to mutation of presenilin 1	1156800008
Autosomal dominant Alzheimer disease due to mutation of presenilin 2 (disorder)	Autosomal dominant Alzheimer disease due to mutation of presenilin 2	1156798001
Autosomal dominant Alzheimer disease due to mutation of amyloid precursor protein (disorder)	Autosomal dominant Alzheimer disease due to mutation of amyloid precursor protein	1156789004
Persistent depressive disorder (disorder)	Persistent depressive disorder	1153575004
Treatment resistant depression (disorder)	Treatment resistant depression	1153570009
Dementia due to deficiency of folic acid (disorder)	Dementia due to deficiency of folic acid	1148924004
Neuropsychiatric disorder due to systemic lupus erythematosus (disorder)	Neuropsychiatric disorder due to systemic lupus erythematosus	1144942002
Possession trance disorder (disorder)	Possession trance disorder	1142047007
Orthorexia nervosa (disorder)	Orthorexia nervosa	870568002
Pervasive developmental disorder with cognitive developmental delay and complete impairment of functional language (disorder)	Pervasive developmental disorder with cognitive developmental delay and complete impairment of functional language	870308001
Pervasive developmental disorder with abscence of functional language (disorder)	Pervasive developmental disorder with abscence of functional language	870307006
Pervasive developmental disorder with complete impairment of functional language (disorder)	Pervasive developmental disorder with complete impairment of functional language	870306002
Pervasive developmental disorder with cognitive developmental delay and marked impairment of functional language (disorder)	Pervasive developmental disorder with cognitive developmental delay and marked impairment of functional language	870305003
Pervasive developmental disorder with complete impairment of functional language without loss of previously acquired skills (disorder)	Pervasive developmental disorder with complete impairment of functional language without loss of previously acquired skills	870304004
Pervasive developmental disorder with complete impairment of functional language with loss of previously acquired skills (disorder)	Pervasive developmental disorder with complete impairment of functional language with loss of previously acquired skills	870303005
Pervasive developmental disorder with severe impairment of functional language without loss of previously acquired skills (disorder)	Pervasive developmental disorder with severe impairment of functional language without loss of previously acquired skills	870282001
Pervasive developmental disorder with severe impairment of functional language with loss of previously acquired skills (disorder)	Pervasive developmental disorder with severe impairment of functional language with loss of previously acquired skills	870280009
Pervasive developmental disorder with disorder of intellectual development and complete impairment of functional language with loss of previously acquired skills (disorder)	Pervasive developmental disorder with disorder of intellectual development and complete impairment of functional language with loss of previously acquired skills	870270005
Pervasive developmental disorder with disorder of intellectual development and absence of functional language with loss of previously acquired skills (disorder)	Pervasive developmental disorder with disorder of intellectual development and absence of functional language with loss of previously acquired skills	870269009
Pervasive developmental disorder with disorder of intellectual development and complete impairment of functional language without loss of previously acquired skills (disorder)	Pervasive developmental disorder with disorder of intellectual development and complete impairment of functional language without loss of previously acquired skills	870268001
Pervasive developmental disorder with disorder of intellectual development and marked impairment of functional language without loss of previously acquired skills (disorder)	Pervasive developmental disorder with disorder of intellectual development and marked impairment of functional language without loss of previously acquired skills	870267006
Pervasive developmental disorder with disorder of intellectual development and marked impairment of functional language with loss of previously acquired skills (disorder)	Pervasive developmental disorder with disorder of intellectual development and marked impairment of functional language with loss of previously acquired skills	870266002
Pervasive developmental disorder with disorder of intellectual development with loss of previously acquired skills (disorder)	Pervasive developmental disorder with disorder of intellectual development with loss of previously acquired skills	870265003
Pervasive developmental disorder with disorder of intellectual development and pervasive impairment of functional language without loss of previously acquired skills (disorder)	Pervasive developmental disorder with disorder of intellectual development and pervasive impairment of functional language without loss of previously acquired skills	870264004
Pervasive developmental disorder with impairment of functional language (disorder)	Pervasive developmental disorder with impairment of functional language	870263005
Pervasive developmental disorder with disorder of intellectual development without loss of previously acquired skills (disorder)	Pervasive developmental disorder with disorder of intellectual development without loss of previously acquired skills	870262000
Pervasive developmental disorder with marked impairment of functional language without loss of previously acquired skills (disorder)	Pervasive developmental disorder with marked impairment of functional language without loss of previously acquired skills	870261007
Pervasive developmental disorder with marked impairment of functional language with loss of previously acquired skills (disorder)	Pervasive developmental disorder with marked impairment of functional language with loss of previously acquired skills	870260008
Dementia due to iron deficiency (disorder)	Dementia due to iron deficiency	840465008
Dementia due to carbon monoxide poisoning (disorder)	Dementia due to carbon monoxide poisoning	840464007
Mood disorder with depressive symptoms caused by amfetamine and/or amfetamine derivative (disorder)	Mood disorder with depressive symptoms caused by amphetamine and/or amphetamine derivative	838530009
Mood disorder with mixed depressive and manic symptoms caused by amfetamine and/or amfetamine derivative (disorder)	Mood disorder with mixed depressive and manic symptoms caused by amfetamine and/or amfetamine derivative	838529004
Mood disorder with manic symptoms caused by amfetamine and/or amfetamine derivative (disorder)	Mood disorder with manic symptoms caused by amfetamine and/or amfetamine derivative	838528007
Amyotrophic lateral sclerosis, parkinsonism, dementia complex (disorder)	Amyotrophic lateral sclerosis, parkinsonism, dementia complex	838276009
Cortical vascular dementia (disorder)	Cortical vascular dementia	833326008
Persistent adjustment disorder (disorder)	Persistent adjustment disorder	789399002
Disinhibited behavior due to dementia (disorder)	Disinhibited behavior due to dementia	789170003
Mood disorder caused by synthetic cannabinoid (disorder)	Synthetic cannabinoid induced mood disorder	789119007
Rapid cycling bipolar II disorder (disorder)	Rapid cycling bipolar II disorder	789061003
Transient motor tic (disorder)	Transient motor tic	789053008
Mood disorder caused by cannabis (disorder)	Mood disorder caused by cannabis	788983007
Impulse control disorder caused by synthetic cathinone (disorder)	Impulse control disorder caused by synthetic cathinone	788958007
Impulse control disorder caused by stimulant (disorder)	Impulse control disorder caused by stimulant	788957002
Impulse control disorder caused by psychoactive substance (disorder)	Impulse control disorder caused by psychoactive substance	788956006
Impulse control disorder caused by cocaine (disorder)	Impulse control disorder caused by cocaine	788955005
Dissociative neurological symptom disorder co-occurrent with tremor (disorder)	Dissociative neurological symptom disorder co-occurrent with tremor	788912006
Dissociative neurological symptom disorder co-occurrent with Parkinsonism (disorder)	Dissociative neurological symptom disorder co-occurrent with Parkinsonism	788911004
Dissociative neurological symptom disorder co-occurrent with myoclonus (disorder)	Dissociative neurological symptom disorder co-occurrent with myoclonus	788910003
Dissociative neurological symptom disorder co-occurrent with facial spasm (disorder)	Dissociative neurological symptom disorder co-occurrent with facial spasm	788909008
Dissociative neurological symptom disorder co-occurrent with dystonia (disorder)	Dissociative neurological symptom disorder co-occurrent with dystonia	788908000
Dissociative neurological symptom disorder co-occurrent with chorea (disorder)	Dissociative neurological symptom disorder co-occurrent with chorea	788907005
Dementia due to pellagra (disorder)	Dementia due to pellagra	788899002
Dementia caused by volatile inhalant (disorder)	Dementia caused by volatile inhalant	788898005
Amnestic disorder caused by volatile solvent (disorder)	Amnestic disorder caused by volatile solvent	788864001
Amnestic disorder caused by psychoactive substance (disorder)	Amnestic disorder caused by psychoactive substance	788863007
Antenatal depression (disorder)	Antenatal depression	788120007
Familial dementia Danish type (disorder)	ADan amyloidosis	783258000
Familial dementia British type (disorder)	ABri amyloidosis	783161005
Macrocephaly, intellectual disability, autism syndrome (disorder)	Macrocephaly, intellectual disability, autism syndrome	783089006
Adjustment disorder with mixed anxiety and depressed mood (disorder)	Adjustment disorder with mixed anxiety and depressed mood	782501005
Protein kinase cAMP-dependent type I regulatory subunit beta-related neurodegenerative dementia with intermediate filaments (disorder)	PRKAR1B-related neurodegenerative dementia with intermediate filaments	774069007
Autism spectrum disorder due to AUTS2 activator of transcription and developmental regulator deficiency (disorder)	Autism spectrum disorder due to AUTS2 deficiency	771512003
Autism epilepsy syndrome due to branched chain ketoacid dehydrogenase kinase deficiency (disorder)	Autism epilepsy syndrome due to branched chain ketoacid dehydrogenase kinase deficiency	771448004
Mixed hyperactive hypoactive delirium following surgical procedure (disorder)	Mixed hyperactive hypoactive postoperative delirium	771421000
Hypoactive delirium following surgical procedure (disorder)	Hypoactive postoperative delirium	771420004
Hyperactive delirium following surgical procedure (disorder)	Hyperactive postoperative delirium	771419005
Delirium following surgical procedure (disorder)	Postoperative delirium	771418002
Developmental delay with autism spectrum disorder and gait instability (disorder)	Developmental delay with autism spectrum disorder and gait instability	770790004
Bipolar I disorder, most recent episode depression (disorder)	Bipolar I disorder, most recent episode depression	767636002
Bipolar I disorder, most recent episode manic (disorder)	Bipolar I disorder, most recent episode manic	767635003
Bipolar affective disorder, most recent episode mixed (disorder)	Bipolar affective disorder, most recent episode mixed	767633005
Bipolar disorder, most recent episode manic (disorder)	Bipolar disorder, most recent episode manic	767632000
Bipolar disorder, most recent episode depression (disorder)	Bipolar disorder, most recent episode depression	767631007
Activity dependent neuroprotector homeobox related multiple congenital anomalies, intellectual disability, autism spectrum disorder (disorder)	ADNP-related multiple congenital anomalies, intellectual disability, autism spectrum disorder	766824003
Sexual arousal by exposure of genitals to non-consenting prepubertal and postpubertal person (disorder)	Sexual arousal by exposure of genitals to non-consenting prepubertal and postpubertal person	765399000
Psychosis and severe depression co-occurrent and due to bipolar affective disorder (disorder)	Psychosis and severe depression co-occurrent and due to bipolar affective disorder	765176007
Telephone scatologia (disorder)	Telephone scatologia	765169002
Asphyxiophilia (disorder)	Asphyxiophilia	765151006
Sexual arousal by exposure of genitals to non-consenting prepubertal person (disorder)	Sexual arousal by exposure of genitals to non-consenting prepubertal person	765112001
Sexual arousal by exposure of genitals to non-consenting postpubertal person (disorder)	Sexual arousal by exposure of genitals to non-consenting postpubertal person	765111008
Sexual arousal by exposure of genitals to non-consenting person (disorder)	Sexual arousal by exposure of genitals to non-consenting person	765110009
Pedophilia targeting children of male sex (disorder)	Pedophilia targeting children of male sex	765109004
Pedophilia targeting children of female sex (disorder)	Pedophilia targeting children of female sex	765108007
Severe bodily distress disorder (disorder)	Severe bodily distress disorder	764785006
Moderate bodily distress disorder (disorder)	Moderate bodily distress disorder	764784005
Mild bodily distress disorder (disorder)	Mild bodily distress disorder	764783004
Subcortical dementia (disorder)	Subcortical dementia	762707000
Penoscrotodynia (disorder)	Penoscrotodynia	762522008
Obsessive compulsive disorder caused by synthetic cathinone (disorder)	Obsessive compulsive disorder caused by synthetic cathinone	762516004
Anxiety disorder caused by synthetic cathinone (disorder)	Anxiety disorder caused by synthetic cathinone	762515000
Mood disorder with mixed depressive and manic symptoms caused by synthetic cathinone (disorder)	Mood disorder with mixed depressive and manic symptoms caused by synthetic cathinone	762514001
Mood disorder with manic symptoms caused by synthetic cathinone (disorder)	Mood disorder with manic symptoms caused by synthetic cathinone	762513007
Mood disorder with depressive symptoms caused by synthetic cathinone (disorder)	Mood disorder with depressive symptoms caused by synthetic cathinone	762512002
Mood disorder caused by synthetic cathinone (disorder)	Mood disorder caused by synthetic cathinone	762511009
Psychotic disorder with schizophreniform symptoms caused by synthetic cathinone (disorder)	Psychotic disorder with schizophreniform symptoms caused by synthetic cathinone	762510005
Psychotic disorder with delusions caused by synthetic cathinone (disorder)	Psychotic disorder with delusions caused by synthetic cathinone	762509000
Psychotic disorder with hallucinations caused by synthetic cathinone (disorder)	Psychotic disorder with hallucinations caused by synthetic cathinone	762508008
Psychotic disorder caused by synthetic cathinone (disorder)	Psychotic disorder caused by synthetic cathinone	762507003
Delirium caused by synthetic cathinone (disorder)	Delirium caused by synthetic cathinone	762506007
Complex dissociative intrusion disorder (disorder)	Complex dissociative intrusion disorder	762461003
Dementia due to and following injury of head (disorder)	Dementia due to and following injury of head	762351006
Dementia due to prion disease (disorder)	Dementia due to prion disease	762350007
Childhood onset conduct-dissocial disorder (disorder)	Childhood onset conduct-dissocial disorder	762347009
Mood disorder with mixed depressive and manic symptoms caused by dissociative drug (disorder)	Mood disorder with mixed depressive and manic symptoms caused by dissociative drug	762346000
Mood disorder with depressive symptoms caused by dissociative drug (disorder)	Mood disorder with depressive symptoms caused by dissociative drug	762345001
Mood disorder with manic symptoms caused by dissociative drug (disorder)	Mood disorder with manic symptoms caused by dissociative drug	762344002
Mood disorder with mixed depressive and manic symptoms caused by volatile inhalant (disorder)	Mood disorder with mixed depressive and manic symptoms caused by volatile inhalant	762340006
Mood disorder with depressive symptoms caused by volatile inhalant (disorder)	Mood disorder with depressive symptoms caused by volatile inhalant	762339009
Mood disorder with manic symptoms caused by volatile inhalant (disorder)	Mood disorder with manic symptoms caused by volatile inhalant	762338001
Mood disorder with mixed depressive and manic symptoms caused by hallucinogen (disorder)	Mood disorder with mixed depressive and manic symptoms caused by hallucinogen	762337006
Mood disorder with depressive symptoms caused by hallucinogen (disorder)	Mood disorder with depressive symptoms caused by hallucinogen	762336002
Mood disorder with manic symptoms caused by hallucinogen (disorder)	Mood disorder with manic symptoms caused by hallucinogen	762335003
Obsessive compulsive disorder caused by stimulant (disorder)	Obsessive compulsive disorder caused by stimulant	762332000
Anxiety disorder caused by stimulant (disorder)	Anxiety disorder caused by stimulant	762331007
Mood disorder with mixed depressive and manic symptoms caused by stimulant (disorder)	Mood disorder with mixed depressive and manic symptoms caused by stimulant	762330008
Mood disorder with depressive symptoms caused by stimulant (disorder)	Mood disorder with depressive symptoms caused by stimulant	762329003
Mood disorder caused by stimulant (disorder)	Mood disorder caused by stimulant	762328006
